genus	hgt_candidate	method	RAAU_cluster	blast_algorithm_type	blast_HGT_score	blast_hgt_taxonomy_level	blast_acceptor_lineage_at_hgt_taxonomy_level	blast_acceptor_lca_level	blast_acceptor_best_nonself_match_id	blast_acceptor_max_pident	blast_acceptor_max_bitscore	blast_acceptor_min_evalue	blast_acceptor_num_matches_at_lineage	blast_donor_num_matches_at_lineage	blast_total_num_matches	blast_donor_lineage_at_hgt_taxonomy_level	blast_donor_best_match_full_lineage	blast_donor_best_match_id	blast_donor_best_match_pident	blast_donor_max_bitscore	blast_donor_min_evalue	blast_alien_index	blast_hgt_index	blast_donor_distribution_index	blast_entropy	blast_entropy_normalized	blast_gini	blast_acceptor_sum_bitscore_per_group_01	blast_donor_sum_bitscore_per_group_01	blast_ahs_01_index	blast_transfer_index	blast_transfer_index_p_value	blast_transfer_index_adjusted_p_value	kofamscan_ko	kofamscan_threshold	kofamscan_score	kofamscan_evalue	kofamscan_ko_definition	hmmscan_domain_name	hmmscan_description	hmmscan_sequence_evalue	hmmscan_sequence_score	hmmscan_sequence_bias	hmmscan_best_domain_evalue	hmmscan_best_domain_score	pangenome_num_genes_in_cluster	pangenome_size	gff_seqid	gff_source	gff_feature	gff_start	gff_end	gff_score	gff_strand	gff_frame	gff_attribute	gff_seqid_length	gff_Dbxref	gff_end_range	gff_gbkey	gff_go_component	gff_go_function	gff_go_process	gff_ID	gff_locus_tag	gff_Name	gff_Note	gff_Ontology_term	gff_orig_transcript_id	gff_Parent	gff_partial	gff_product	gff_protein_id	gff_start_range	gff_frame_tally	gff_gene	gff_pseudo	gff_orig_protein_id	gff_transl_table	gff_exception
Agrocybe	JANKHO010000801.1_cds_KAJ3506136.1_11277_1	blast	NA	kingdom	2 likely HGT	kingdom	Fungi	kingdom	TFK38309.1	61.4	82	5.27e-17	8	1	9	Metazoa	Eukaryota;Metazoa;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletes;Colletes gigas	XP_043256851.1	30.3	141	3.74e-35	41.78947642501966	52.91479820627803	1	0.5032583347756457	0.17926423581910012	0.17460317460317454	3.276595744680851	1	-2.276595744680851	NA	NA	NA	K13525	820.13	186.3	4.499999999999999e-56	transitional endoplasmic reticulum ATPase	VOG00842	sp|Q5UPK9|YL138_MIMIV Uncharacterized protein L138	6.5e-23	82.3	0	9.6e-23	81.7	1	3	JANKHO010000801.1	Genbank	CDS	15190	15386	.	-	0	ID=cds-KAJ3506136.1;Parent=rna-gnl|WGS:JANKHO|NLJ89_g7038.t1_mrna;Dbxref=NCBI_GP:KAJ3506136.1;Name=KAJ3506136.1;gbkey=CDS;locus_tag=NLJ89_g7038;orig_transcript_id=gnl|WGS:JANKHO|NLJ89_g7038.t1_mrna;product=hypothetical protein;protein_id=KAJ3506136.1	15497	NCBI_GP:KAJ3506136.1	NA	CDS	NA	NA	NA	cds-KAJ3506136.1	NLJ89_g7038	KAJ3506136.1	NA	NA	gnl|WGS:JANKHO|NLJ89_g7038.t1_mrna	rna-gnl|WGS:JANKHO|NLJ89_g7038.t1_mrna	NA	hypothetical protein	KAJ3506136.1	NA	7	NA	NA	NA	NA	NA
Agrocybe	JANKHO010001783.1_cds_KAJ3498694.1_3482_1	blast	NA	kingdom	2 likely HGT	kingdom	Fungi	kingdom	KAH5245196.1	27.3	74.2	6.8e-15	9	4	33	Viridiplantae	Eukaryota;Viridiplantae;Streptophyta;Polypodiopsida;Polypodiales;Pteridaceae;Ceratopteris;Ceratopteris richardii	KAH7443261.1	27.2	99	3.36e-22	16.82307728916527	28.637413394919164	0.72	2.1912129703153886	0.7805258085106587	0.5497835497835497	4.196969696969697	2.173737373737374	-2.0232323232323233	NA	NA	NA	K23561	722.83	135.1	1.9e-40	dual specificity protein kinase CLK1/4 [EC:2.7.12.1]	Pkinase	Protein kinase domain	6.2000000000000004e-34	118.6	0	7.2e-34	118.4	1	3	JANKHO010001783.1	Genbank	CDS	1748	1890	.	-	0	ID=cds-KAJ3498694.1;Parent=rna-gnl|WGS:JANKHO|NLJ89_g10183.t1_mrna;Dbxref=NCBI_GP:KAJ3498694.1;Name=KAJ3498694.1;gbkey=CDS;locus_tag=NLJ89_g10183;orig_transcript_id=gnl|WGS:JANKHO|NLJ89_g10183.t1_mrna;product=hypothetical protein;protein_id=KAJ3498694.1	6759	NCBI_GP:KAJ3498694.1	NA	CDS	NA	NA	NA	cds-KAJ3498694.1	NLJ89_g10183	KAJ3498694.1	NA	NA	gnl|WGS:JANKHO|NLJ89_g10183.t1_mrna	rna-gnl|WGS:JANKHO|NLJ89_g10183.t1_mrna	NA	hypothetical protein	KAJ3498694.1	NA	6	NA	NA	NA	NA	NA
Agrocybe	MU156573.1_cds_KAF9556501.1_9753_1	blast	NA	kingdom	1 possible HGT	kingdom	Fungi	kingdom	KAI9277981.1	28.1	67.3	5.26e-13	7	8	29	Metazoa	Eukaryota;Metazoa;unclassified Metazoa phylum;unclassified Metazoa class;unclassified Metazoa order;unclassified Metazoa family;unclassified Metazoa genus;unclassified Metazoa species	CAD5222133.1	31.1	79.7	9.15e-17	8.65671751943837	16.870748299319732	0.8333333333333334	1.8003591170911204	0.6413008568833103	0.41871921182266014	4.813048933500627	6.50564617314931	1.6925972396486824	NA	NA	NA	K06641	404.63	157.6	2.7e-47	serine/threonine-protein kinase CHEK2 [EC:2.7.11.1]	Pkinase	Protein kinase domain	2.7999999999999998e-39	136.1	0.2	2.3e-18	67.6	1	3	MU156573.1	Genbank	CDS	51015	51342	.	-	0	ID=cds-KAF9556501.1;Parent=rna-gnl|WGS:JADNRF|CPC08DRAFT_mRNA820434;Dbxref=InterPro:IPR017442,JGIDB:Agrped1_820434,NCBI_GP:KAF9556501.1;Name=KAF9556501.1;Ontology_term=GO:0006468;gbkey=CDS;go_process=protein amino acid phosphorylation|0006468||;locus_tag=CPC08DRAFT_820434;orig_transcript_id=gnl|WGS:JADNRF|CPC08DRAFT_mRNA820434;product=kinase-like protein;protein_id=KAF9556501.1	88213	InterPro:IPR017442,JGIDB:Agrped1_820434,NCBI_GP:KAF9556501.1	NA	CDS	NA	NA	protein amino acid phosphorylation|0006468||	cds-KAF9556501.1	CPC08DRAFT_820434	KAF9556501.1	NA	GO:0006468	gnl|WGS:JADNRF|CPC08DRAFT_mRNA820434	rna-gnl|WGS:JADNRF|CPC08DRAFT_mRNA820434	NA	kinase-like protein	KAF9556501.1	NA	10	NA	NA	NA	NA	NA
Agrocybe	MU156630.1_cds_KAF9554578.1_11381_1	blast	NA	kingdom	1 possible HGT	kingdom	Fungi	species	PSS03335.1	47.7	38.7	4.19e-4	1	1	2	Viridiplantae	Eukaryota;Viridiplantae;Streptophyta;Polypodiopsida;Polypodiales;Pteridaceae;Adiantum;Adiantum capillus-veneris	KAI5061830.1	46.3	44.4	1.25e-5	3.512142275613882	13.71841155234656	1	1	0.3562071871080222	0.2857142857142857	0.8716216216216217	1	0.1283783783783783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	MU156630.1	Genbank	CDS	558	803	.	+	0	ID=cds-KAF9554578.1;Parent=rna-gnl|WGS:JADNRF|CPC08DRAFT_mRNA619652;Dbxref=JGIDB:Agrped1_619652,NCBI_GP:KAF9554578.1;Name=KAF9554578.1;end_range=803,.;gbkey=CDS;locus_tag=CPC08DRAFT_619652;orig_transcript_id=gnl|WGS:JADNRF|CPC08DRAFT_mRNA619652;partial=true;product=hypothetical protein;protein_id=KAF9554578.1	64782	JGIDB:Agrped1_619652,NCBI_GP:KAF9554578.1	803	CDS	NA	NA	NA	cds-KAF9554578.1	CPC08DRAFT_619652	KAF9554578.1	NA	NA	gnl|WGS:JADNRF|CPC08DRAFT_mRNA619652	rna-gnl|WGS:JADNRF|CPC08DRAFT_mRNA619652	TRUE	hypothetical protein	KAF9554578.1	NA	1	NA	NA	NA	NA	NA
Amanita	JNHV02000108.1_cds_KAF8736273.1_3890_1	blast	NA	kingdom	3 highly likely HGT	kingdom	Fungi	species	KAG8213831.1	44.2	73.2	8.29e-14	1	28	31	Bacteria	Bacteria;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Chelatococcaceae;Chelatococcus;Chelatococcus asaccharovorans	PXW63504.1	55.2	400	1.0599999999999999e-112	227.7101201744397	138.12341504649197	0.9857142857142858	0.547553154980007	0.1950423691275512	0.17972350230414746	0.183	17.386	17.203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	6	JNHV02000108.1	Genbank	CDS	9443	9694	.	-	0	ID=cds-KAF8736273.1;Parent=rna-gnl|WGS:JNHV|AbrmRNA.585.1;Dbxref=NCBI_GP:KAF8736273.1;Name=KAF8736273.1;gbkey=CDS;locus_tag=AX14_000584;orig_transcript_id=gnl|WGS:JNHV|AbrmRNA.585.1;product=hypothetical protein;protein_id=KAF8736273.1	38487	NCBI_GP:KAF8736273.1	NA	CDS	NA	NA	NA	cds-KAF8736273.1	AX14_000584	KAF8736273.1	NA	NA	gnl|WGS:JNHV|AbrmRNA.585.1	rna-gnl|WGS:JNHV|AbrmRNA.585.1	NA	hypothetical protein	KAF8736273.1	NA	3	NA	NA	NA	NA	NA
Amanita	JNHV02000108.1_cds_KAF8736273.1_3890_1	blast	NA	kingdom	3 highly likely HGT	kingdom	Fungi	species	KAG8213831.1	44.2	73.2	8.29e-14	1	2	31	Viridiplantae	Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Arachis;Arachis hypogaea	WBO26545.1	49	266	2.0399999999999997e-72	134.95203555494572	113.67924528301889	0.9857142857142858	0.547553154980007	0.1950423691275512	0.17972350230414746	0.183	1.2875	1.1045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	6	JNHV02000108.1	Genbank	CDS	9443	9694	.	-	0	ID=cds-KAF8736273.1;Parent=rna-gnl|WGS:JNHV|AbrmRNA.585.1;Dbxref=NCBI_GP:KAF8736273.1;Name=KAF8736273.1;gbkey=CDS;locus_tag=AX14_000584;orig_transcript_id=gnl|WGS:JNHV|AbrmRNA.585.1;product=hypothetical protein;protein_id=KAF8736273.1	38487	NCBI_GP:KAF8736273.1	NA	CDS	NA	NA	NA	cds-KAF8736273.1	AX14_000584	KAF8736273.1	NA	NA	gnl|WGS:JNHV|AbrmRNA.585.1	rna-gnl|WGS:JNHV|AbrmRNA.585.1	NA	hypothetical protein	KAF8736273.1	NA	3	NA	NA	NA	NA	NA
Amanita	JNHV02000215.1_cds_KAF8731509.1_5616_1	blast	NA	kingdom	1 possible HGT	kingdom	Fungi	order	KAG5715707.1	36	183	2.96e-48	3	1	16	Bacteria	Bacteria;Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium sp.	HBK83011.1	36.8	199	1.0699999999999995e-52	10.227870991838344	8.37696335078534	0.8285714285714286	1.7489992230622806	0.6230060935011312	0.3928571428571429	1.9743718592964823	1	-0.9743718592964824	NA	NA	NA	K13496	738.63	60.6	1.2e-17	UDP-glucosyltransferase 73C [EC:2.4.1.-]	NA	NA	NA	NA	NA	NA	NA	1	6	JNHV02000215.1	Genbank	CDS	23140	24072	.	-	0	ID=cds-KAF8731509.1;Parent=rna-gnl|WGS:JNHV|AbrmRNA.4772.1;Dbxref=NCBI_GP:KAF8731509.1;Name=KAF8731509.1;gbkey=CDS;locus_tag=AX14_004758;orig_transcript_id=gnl|WGS:JNHV|AbrmRNA.4772.1;product=hypothetical protein;protein_id=KAF8731509.1	26556	NCBI_GP:KAF8731509.1	NA	CDS	NA	NA	NA	cds-KAF8731509.1	AX14_004758	KAF8731509.1	NA	NA	gnl|WGS:JNHV|AbrmRNA.4772.1	rna-gnl|WGS:JNHV|AbrmRNA.4772.1	NA	hypothetical protein	KAF8731509.1	NA	1	NA	NA	NA	NA	NA
Amanita	JNHV02000215.1_cds_KAF8731509.1_5616_1	blast	NA	kingdom	1 possible HGT	kingdom	Fungi	order	KAG5715707.1	36	183	2.96e-48	3	5	16	Viridiplantae	Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Zingiberales;Zingiberaceae;Zingiber;Zingiber officinale	KAG6489371.1	37.5	195	1.32e-51	7.715312810719823	6.349206349206349	0.8285714285714286	1.7489992230622806	0.6230060935011312	0.3928571428571429	1.9743718592964823	3.785929648241206	1.8115577889447232	NA	NA	NA	K13496	738.63	60.6	1.2e-17	UDP-glucosyltransferase 73C [EC:2.4.1.-]	NA	NA	NA	NA	NA	NA	NA	1	6	JNHV02000215.1	Genbank	CDS	23140	24072	.	-	0	ID=cds-KAF8731509.1;Parent=rna-gnl|WGS:JNHV|AbrmRNA.4772.1;Dbxref=NCBI_GP:KAF8731509.1;Name=KAF8731509.1;gbkey=CDS;locus_tag=AX14_004758;orig_transcript_id=gnl|WGS:JNHV|AbrmRNA.4772.1;product=hypothetical protein;protein_id=KAF8731509.1	26556	NCBI_GP:KAF8731509.1	NA	CDS	NA	NA	NA	cds-KAF8731509.1	AX14_004758	KAF8731509.1	NA	NA	gnl|WGS:JNHV|AbrmRNA.4772.1	rna-gnl|WGS:JNHV|AbrmRNA.4772.1	NA	hypothetical protein	KAF8731509.1	NA	1	NA	NA	NA	NA	NA
Amanita	JNHV02000307.1_cds_KAF8727732.1_6620_1	blast	NA	kingdom	1 possible HGT	kingdom	Fungi	kingdom	ESK95225.1	76.6	257	1.55e-69	96	3	99	Bacteria	Bacteria;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Embleya;Embleya hyalina	WP_126635987.1	75.9	259	5.4100000000000004e-70	1.052590931066817	0.7751937984496124	1	0.1959092708736049	0.0697842903062704	0.1515151515151515	85.88416988416988	2.7683397683397684	-83.11583011583011	NA	NA	NA	K05765	86	183.3	6.699999999999999e-55	cofilin	VOG22060	REFSEQ hypothetical protein	0.24	12.8	0.1	0.41	12.1	1	6	JNHV02000307.1	Genbank	CDS	8906	8908	.	+	0	ID=cds-KAF8727732.1;Parent=rna-gnl|WGS:JNHV|AbrmRNA.7097.1;Dbxref=NCBI_GP:KAF8727732.1;Name=KAF8727732.1;gbkey=CDS;locus_tag=AX14_007081;orig_transcript_id=gnl|WGS:JNHV|AbrmRNA.7097.1;product=hypothetical protein;protein_id=KAF8727732.1	21604	NCBI_GP:KAF8727732.1	NA	CDS	NA	NA	NA	cds-KAF8727732.1	AX14_007081	KAF8727732.1	NA	NA	gnl|WGS:JNHV|AbrmRNA.7097.1	rna-gnl|WGS:JNHV|AbrmRNA.7097.1	NA	hypothetical protein	KAF8727732.1	NA	4	NA	NA	NA	NA	NA
Amanita	JNHV02000393.1_cds_KAF8724468.1_7431_1	blast	NA	kingdom	1 possible HGT	kingdom	Fungi	kingdom	GAM87381.1	34.4	40.2	8.22e-5	2	12	17	Metazoa	Eukaryota;Metazoa;Chordata;Amphibia;Anura;Pipidae;Xenopus;Xenopus tropicalis	XP_031758857.1	27.1	44	7.23e-6	2.4309162658914616	9.026128266033249	0.95	1.3216069583883467	0.4707658971099019	0.2941176470588235	1.7704545454545455	10.879545454545454	9.10909090909091	NA	NA	NA	K11294	186.03	71.4	7.8e-21	nucleolin	NA	NA	NA	NA	NA	NA	NA	1	6	JNHV02000393.1	Genbank	CDS	7658	7832	.	-	0	ID=cds-KAF8724468.1;Parent=rna-gnl|WGS:JNHV|AbrmRNA.8781.1;Dbxref=NCBI_GP:KAF8724468.1;Name=KAF8724468.1;gbkey=CDS;locus_tag=AX14_008763;orig_transcript_id=gnl|WGS:JNHV|AbrmRNA.8781.1;product=hypothetical protein;protein_id=KAF8724468.1	17946	NCBI_GP:KAF8724468.1	NA	CDS	NA	NA	NA	cds-KAF8724468.1	AX14_008763	KAF8724468.1	NA	NA	gnl|WGS:JNHV|AbrmRNA.8781.1	rna-gnl|WGS:JNHV|AbrmRNA.8781.1	NA	hypothetical protein	KAF8724468.1	NA	3	NA	NA	NA	NA	NA
